task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
prepare_data,2024-05-02T11:25:51,fake_news_classification,f675ce23-60e9-4dc7-9dac-bcfb6e38c174,0.2601754665374756,2.574731929356827e-07,9.887863799551952e-07,14.0,0.0,5.739553928375244,1.0123738977644177e-06,0,4.147187035042066e-07,1.4270926012686242e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
training_logistic_regression,2024-05-02T11:25:53,fake_news_classification,f675ce23-60e9-4dc7-9dac-bcfb6e38c174,1.8658788204193115,1.8432999164552102e-06,9.88228752830305e-07,14.0,0.0,5.739553928375244,7.253148688210381e-06,0,2.9636806550658436e-06,1.0216829343276225e-05,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
inference_logistic_regression,2024-05-02T11:25:53,fake_news_classification,f675ce23-60e9-4dc7-9dac-bcfb6e38c174,0.3767814636230469,3.7283055812679887e-07,9.889496086442807e-07,14.0,0.0,5.739553928375244,1.465868552525839e-06,0,6.006134954228056e-07,2.066482047948645e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
