task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_results,2024-05-02T12:34:39,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,0.18431830406188965,1.8381295723487295e-07,9.88410901161216e-07,14.0,0.0,5.739553928375244,7.228701644473605e-07,0,2.9594701141576253e-07,1.018817175863123e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
result_wrangling,2024-05-02T12:34:39,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,0.017314434051513672,1.6988101967444863e-08,9.822346231763925e-07,14.0,0.0,5.739553928375244,6.701866785685219e-08,0,2.7141016694827158e-08,9.415968455167929e-08,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
vis_bar_chart,2024-05-02T12:34:40,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,1.3826642036437988,1.367415414241596e-06,9.891201708347144e-07,14.0,0.0,5.739553928375244,5.375773906707764e-06,0,2.203377919837237e-06,7.579151826545e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
vis_line_plot,2024-05-02T12:34:41,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,0.12540555000305176,1.2383868937487353e-07,9.87785467442168e-07,14.0,0.0,5.739553928375244,4.871653185950389e-07,0,1.9923342972759894e-07,6.863987483226366e-07,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
vis_pie_plot,2024-05-02T12:34:41,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,0.1325070858001709,1.3078940495813294e-07,9.877942057580311e-07,14.0,0.0,5.739553928375244,5.145163006252714e-07,0,2.1040806921661224e-07,7.249243698418841e-07,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
