task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-02T11:53:39,emotion_arcs,b39df520-cc9c-4b68-a553-45b094d2210b,0.04565143585205078,4.616595627318346e-08,9.866301249398163e-07,14.0,0.0,5.739553928375244,1.817223760816786e-07,0,7.416094084447878e-08,2.5588331692615736e-07,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
load_model,2024-05-02T11:53:41,emotion_arcs,b39df520-cc9c-4b68-a553-45b094d2210b,1.3207635879516602,1.3063276056904993e-06,9.891549661717134e-07,14.0,0.0,5.739553928375244,5.135511027442085e-06,0,2.1050503671554564e-06,7.240561394597541e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
inference,2024-05-02T12:04:43,emotion_arcs,b39df520-cc9c-4b68-a553-45b094d2210b,662.5013980865479,0.0006553913478956347,9.892690722536745e-07,14.0,0.0,5.739553928375244,0.002576390264829,0,0.0010562370112500753,0.0036326272760790752,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
post_processing,2024-05-02T12:04:43,emotion_arcs,b39df520-cc9c-4b68-a553-45b094d2210b,0.18609070777893066,1.829014962972551e-07,9.872841639915862e-07,14.0,0.0,5.739553928375244,7.195378674399767e-07,0,2.9422736827510766e-07,1.0137652357153012e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
