task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_model,2024-05-02T11:52:23,query_expansion,1a9787b8-534d-48cb-b940-c4dbbc0eb3d3,8.182456731796265,8.096029973245501e-06,9.892507130314012e-07,14.0,0.0,5.739553928375244,3.182633479436238e-05,0,1.3047402711016788e-05,4.487373750537917e-05,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
load_data,2024-05-02T11:52:24,query_expansion,1a9787b8-534d-48cb-b940-c4dbbc0eb3d3,0.5186617374420166,5.126596508986487e-07,9.888218315643023e-07,14.0,0.0,5.739553928375244,2.015682723787098e-06,0,8.258278289218873e-07,2.841510552708985e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
fuzzy_finding,2024-05-02T11:52:24,query_expansion,1a9787b8-534d-48cb-b940-c4dbbc0eb3d3,0.02533435821533203,2.4747220151218814e-08,9.810251355714538e-07,14.0,0.0,5.739553928375244,9.759902954101381e-08,0,3.956699686000328e-08,1.371660264010171e-07,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
query_expansion,2024-05-02T11:52:24,query_expansion,1a9787b8-534d-48cb-b940-c4dbbc0eb3d3,0.04641318321228027,4.5393048873232315e-08,9.847840858886371e-07,14.0,0.0,5.739553928375244,1.7880453003777514e-07,0,7.27948052460191e-08,2.5159933528379593e-07,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
querying,2024-05-02T11:52:24,query_expansion,1a9787b8-534d-48cb-b940-c4dbbc0eb3d3,0.01661992073059082,1.6272141517372605e-08,9.793555403992307e-07,14.0,0.0,5.739553928375244,6.42704963684052e-08,0,2.5920845500877003e-08,9.01913418692839e-08,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N
